url,type,domain,ip_address
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,phishing,docs.google.com,172.217.193.101
retajconsultancy.com,phishing,retajconsultancy.com,34.120.137.41
http://www.martin-busker.de/administrator/help/en-GB/css/Facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,phishing,www.martin-busker.de,85.13.131.175
detkreimeier-fotografie.de,phishing,detkreimeier-fotografie.de,5.35.226.73
info-pages.000webhostapp.com,phishing,info-pages.000webhostapp.com,145.14.144.235
titaniumcorporate.co.za,phishing,titaniumcorporate.co.za,41.203.18.177
http://pastehtml.com/view/b2i243gkw.html,phishing,pastehtml.com,151.139.128.10
http://www.ksra.ca/form/use/verify/form1.html,phishing,www.ksra.ca,107.161.38.134
waterviewdistillery.com,phishing,waterviewdistillery.com,76.223.105.230
prodenk-sanierung.de,phishing,prodenk-sanierung.de,87.118.120.112
idservicetelsmsmmssfr.000webhostapp.com,phishing,idservicetelsmsmmssfr.000webhostapp.com,145.14.145.248
http://www.lappiramis.hu/wordpress/wp-content/themes/twentyeleven/inc/images/index.htm,phishing,www.lappiramis.hu,173.198.212.140
starpacintl.com,phishing,starpacintl.com,65.0.162.12
http://habbomoedasgeraa.blogspot.com/,phishing,habbomoedasgeraa.blogspot.com,74.125.134.132
account-security-centre20181712.000webhostapp.com,phishing,account-security-centre20181712.000webhostapp.com,145.14.144.94
toctok.com.mx,phishing,toctok.com.mx,172.67.197.159
http://pastehtml.com/view/bfzi0ah2a.html,phishing,pastehtml.com,151.139.128.10
http://www.itfindia.org/confirmation-account/c85652703f710065c1255aa03a9aefae/53ca17bd02579e9464e40735557fdfeb/login.php,phishing,www.itfindia.org,194.195.113.129
peregrine.igg.biz,phishing,peregrine.igg.biz,104.247.81.71
http://creditmaster.eu/7416077659/241250503/,phishing,creditmaster.eu,199.59.243.223
http://pastehtml.com/view/bfza8l1z0.html,phishing,pastehtml.com,151.139.128.10
http://www.jjscdc.cn/adfile/login.html?us.battle.net/login/en/?ref=us.battle.net/d3/en/index,phishing,www.jjscdc.cn,106.225.177.154
acacacukserver.000webhostapp.com,phishing,acacacukserver.000webhostapp.com,145.14.144.7
smolmaw5.beget.tech,phishing,smolmaw5.beget.tech,5.101.152.146
morinyog.usa.cc,phishing,morinyog.usa.cc,69.16.231.57
mysqatendimentov3.uni5.net,phishing,mysqatendimentov3.uni5.net,187.1.136.55
debbiewoodsyoga.com,phishing,debbiewoodsyoga.com,76.223.105.230
malerei-roli.at,phishing,malerei-roli.at,81.16.38.46
drizzarecomponentes.com.br,phishing,drizzarecomponentes.com.br,69.49.115.40
http://www.xmadwater.com.cn/js/?app=com-d3&us.battle.net/login/en/?ref=us.battle.net/d3/en/index,phishing,www.xmadwater.com.cn,114.67.234.114
travbae.com,phishing,travbae.com,156.248.236.56
sturdeephotography.com,phishing,sturdeephotography.com,188.208.140.60
premjoshua.com,phishing,premjoshua.com,103.14.97.80
thevillasdowntown.com,phishing,thevillasdowntown.com,209.182.192.205
tekneaydinlatma.com,phishing,tekneaydinlatma.com,85.159.66.62
octopus-prediction.com,phishing,octopus-prediction.com,185.112.248.242
http://pastehtml.com/view/bbdr3wk73.html,phishing,pastehtml.com,151.139.128.10
http://bank0famerica-com.z2.newmail.ru/secure_membin_BankOfAmeri_caemail_id43432gjg98987ihgwq72k9878e.htm?securelogin=yes?ssl_encryptlink=yes&amp;source=bankofamericaEMAILdefaultaspx?refererident=341348B3767313d1683678CADD124HJ8S748FGHHJC1AjkCB&amp;cookieid=43562714&amp;nocachelocal,phishing,bank0famerica-com.z2.newmail.ru,31.177.76.144
idiffuser.com.tw,phishing,idiffuser.com.tw,206.189.93.127
jilbabsegiempattebal.com,phishing,jilbabsegiempattebal.com,107.186.47.228
reneerojanaro.com,phishing,reneerojanaro.com,67.20.61.99
http://sputnik.ee/js/signon.bankofamerica.com/index.html,phishing,sputnik.ee,185.31.240.240
dreamersandbelievers.com.au,phishing,dreamersandbelievers.com.au,23.227.38.32
cwconsultores.cnt.br,phishing,cwconsultores.cnt.br,192.185.177.95
w3lls-fargofargo.000webhostapp.com,phishing,w3lls-fargofargo.000webhostapp.com,145.14.144.41
fuoriskema.it,phishing,fuoriskema.it,35.214.134.104
http://pastehtml.com/view/b9xaugqjm.html,phishing,pastehtml.com,151.139.128.10
http://www.the4fitz.com/westpac/Login/?h3&amp;app=wol&amp;referrer=http://www.westpac.com.au/HomepageAlternative/,phishing,www.the4fitz.com,66.96.149.32
